Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	9.628219	23.171348	32.799567
0.005	9.482438	23.153919	32.636357
0.01	9.475113	23.115074	32.590187
0.015	9.505922	23.04535	32.551272
0.02	9.551777	23.043341	32.595118
0.025	9.565263	23.030561	32.595824
0.03	9.534266	22.888138	32.422404
0.035	9.519154	22.811616	32.33077
0.04	9.532579	22.857278	32.389857
0.045	9.538569	22.80164	32.340209
0.05	9.565944	22.766619	32.332563
0.055	9.645161	22.728481	32.373642
0.06	9.700176	22.667333	32.367509
0.065	9.726807	22.622897	32.349704
0.07	9.721112	22.575804	32.296916
0.075	9.702761	22.522597	32.225358
0.08	9.6965	22.470294	32.166794
0.085	9.698188	22.447794	32.145982
0.09	9.702293	22.316316	32.018609
0.095	9.769299	22.3242	32.093499
0.1	9.822552	22.323753	32.146305
0.105	9.896178	22.268189	32.164367
0.11	9.897823	22.250049	32.147872
0.115	9.923578	22.20952	32.133098
0.12	9.969315	22.153711	32.123026
0.125	9.995194	22.118548	32.113742
0.13	10.01279	22.097866	32.110656
0.135	10.086111	22.051339	32.13745
0.14	10.207526	21.963053	32.170579
0.145	10.388689	21.988158	32.376847
0.15	10.414836	22.033434	32.44827
0.155	10.393588	22.048353	32.441941
0.16	10.383109	21.976256	32.359365
0.165	10.367497	21.892588	32.260085
0.17	10.365283	21.908852	32.274135
0.175	10.349803	21.850477	32.20028
0.18	10.335853	21.900292	32.236145
0.185	10.326395	21.907904	32.234299
0.19	10.316001	21.915191	32.231192
0.195	10.303086	21.92289	32.225976
0.2	10.360128	21.91686	32.276988
0.205	10.408461	21.901203	32.309664
0.21	10.429584	21.91038	32.339964
0.215	10.41368	21.864673	32.278353
0.22	10.406458	21.847367	32.253825
0.225	10.394239	21.840243	32.234482
0.23	10.386213	21.855516	32.241729
0.235	10.398939	21.868454	32.267393
0.24	10.398158	21.86987	32.268028
0.245	10.44643	21.885726	32.332156
0.25	10.480298	21.878968	32.359266
0.255	10.499311	21.88637	32.385681
0.26	10.527246	21.88132	32.408566
0.265	10.548554	21.913887	32.462441
0.27	10.55054	21.931189	32.481729
0.275	10.535393	21.935453	32.470846
0.28	10.500824	21.958977	32.459801
0.285	10.476545	21.973492	32.450037
0.29	10.471547	21.981477	32.453024
0.295	10.486367	22.00361	32.489977
0.3	10.484653	22.018744	32.503397
0.305	10.426704	22.014598	32.441302
0.31	10.008388	22.058753	32.067141
0.315	8.826767	22.112654	30.939421
0.32	6.734597	22.13303	28.867627
0.325	3.971512	22.176751	26.148263
0.33	1.323559	22.218193	23.541752
0.335	-1.073088	22.178894	21.105806
0.34	-3.524793	22.173555	18.648762
0.345	-5.798122	22.247224	16.449102
0.35	-8.328024	22.237313	13.909289
0.355	-9.863634	22.239786	12.376152
0.36	-11.424392	22.283176	10.858784
0.365	-12.997463	22.26402	9.266557
0.37	-14.864505	22.204771	7.340266
0.375	-15.208969	22.141048	6.932079
0.38	-15.839278	22.151933	6.312655
0.385	-15.745533	22.101216	6.355683
0.39	-15.597613	22.047321	6.449708
0.395	-15.741848	21.934061	6.192213
0.4	-15.555293	21.860795	6.305502
0.405	-14.788028	21.836275	7.048247
0.41	-14.587873	21.749727	7.161854
0.415	-14.476584	21.619927	7.143343
0.42	-14.411978	21.478505	7.066527
0.425	-14.285746	21.322968	7.037222
0.43	-14.300572	21.143503	6.842931
0.435	-14.508326	20.968475	6.460149
0.44	-14.522485	20.75152	6.229035
0.445	-14.228176	20.479846	6.25167
0.45	-13.568779	20.237224	6.668445
0.455	-13.140381	19.856502	6.716121
0.46	-12.841839	19.48023	6.638391
0.465	-13.555041	19.104682	5.549641
0.47	-15.224155	18.624632	3.400477
0.475	-16.838993	18.102582	1.263589
0.48	-18.331093	17.567129	-0.763964
0.485	-20.829321	17.002099	-3.827222
0.49	-22.506318	16.386052	-6.120266
0.495	-23.232703	15.720906	-7.511797
0.5	-24.282378	15.011896	-9.270482
0.505	-26.483775	14.346629	-12.137146
0.51	-28.354422	13.52173	-14.832692
0.515	-29.72845	12.722941	-17.005509
0.52	-31.007015	11.836618	-19.170397
0.525	-32.129151	10.950025	-21.179126
0.53	-33.538667	10.171623	-23.367044
0.535	-34.928224	9.238737	-25.689487
0.54	-36.058868	8.316982	-27.741886
0.545	-37.120006	7.318994	-29.801012
0.55	-37.601212	6.348684	-31.252528
0.555	-37.47964	5.203336	-32.276304
0.56	-36.987113	4.179403	-32.80771
0.565	-35.208787	3.118614	-32.090173
0.57	-33.651208	2.084894	-31.566314
0.575	-32.49927	1.13398	-31.36529
0.58	-31.139976	0.064879	-31.075097
0.585	-29.619	-1.011159	-30.630159
0.59	-27.777293	-2.093751	-29.871044
0.595	-26.70999	-3.061497	-29.771487
0.6	-25.337475	-4.236105	-29.57358
0.605	-24.127345	-5.258216	-29.385561
0.61	-23.272544	-6.089063	-29.361607
0.615	-22.391771	-7.075955	-29.467726
0.62	-21.608898	-8.004535	-29.613433
0.625	-21.022864	-8.912261	-29.935125
0.63	-20.637302	-9.795699	-30.433001
0.635	-20.125588	-10.700916	-30.826504
0.64	-18.574768	-11.501447	-30.076215
0.645	-15.932509	-12.317336	-28.249845
0.65	-14.538928	-13.064326	-27.603254
0.655	-13.093325	-13.76978	-26.863105
0.66	-11.78773	-14.481141	-26.268871
0.665	-10.866508	-15.169352	-26.03586
0.67	-10.256696	-15.80162	-26.058316
0.675	-9.533092	-16.400032	-25.933124
0.68	-8.617209	-17.003906	-25.621115
0.685	-7.792826	-17.571567	-25.364393
0.69	-7.826536	-18.135663	-25.962199
0.695	-8.276491	-18.634938	-26.911429
0.7	-9.356391	-19.150974	-28.507365
0.705	-10.181226	-19.658335	-29.839561
0.71	-10.730866	-20.144372	-30.875238
0.715	-11.167273	-20.617095	-31.784368
0.72	-11.378821	-21.111754	-32.490575
0.725	-11.407661	-21.567554	-32.975215
0.73	-11.049267	-21.96136	-33.010627
0.735	-10.501928	-22.359401	-32.861329
0.74	-9.495071	-22.754364	-32.249435
0.745	-8.33364	-23.119723	-31.453363
0.75	-7.93056	-23.469744	-31.400304
0.755	-7.582397	-23.789735	-31.372132
0.76	-7.18535	-24.12565	-31.311
0.765	-6.801547	-24.405437	-31.206984
0.77	-6.462064	-24.666024	-31.128088
0.775	-6.005513	-24.929611	-30.935124
0.78	-5.48255	-25.197639	-30.680189
0.785	-5.08334	-25.444812	-30.528152
0.79	-4.795705	-25.641642	-30.437347
0.795	-4.386781	-25.885151	-30.271932
0.8	-3.585788	-26.099353	-29.685141
0.805	-3.052641	-26.297995	-29.350636
0.81	-3.062364	-26.476907	-29.539271
0.815	-2.982662	-26.623886	-29.606548
0.82	-2.647993	-26.790798	-29.438791
0.825	-2.282891	-26.939735	-29.222626
0.83	-1.947259	-27.080924	-29.028183
0.835	-1.70957	-27.21911	-28.92868
0.84	-1.680056	-27.339852	-29.019908
0.845	-2.090756	-27.441562	-29.532318
0.85	-2.59985	-27.548049	-30.147899
0.855	-2.960959	-27.639106	-30.600065
0.86	-2.987828	-27.724836	-30.712664
0.865	-3.014435	-27.781748	-30.796183
0.87	-3.105739	-27.86299	-30.968729
0.875	-2.910872	-27.910831	-30.821703
0.88	-2.593158	-27.962091	-30.555249
0.885	-2.429467	-28.015682	-30.445149
0.89	-2.42275	-28.05044	-30.47319
0.895	-2.532805	-28.081885	-30.61469
0.9	-2.645019	-28.113647	-30.758666
0.905	-2.656853	-28.136419	-30.793272
0.91	-2.557213	-28.167348	-30.724561
0.915	-2.55438	-28.176001	-30.730381
0.92	-2.566317	-28.171903	-30.73822
0.925	-2.490489	-28.17364	-30.664129
0.93	-2.335164	-28.184552	-30.519716
0.935	-2.160706	-28.177665	-30.338371
0.94	-2.001302	-28.180191	-30.181493
0.945	-1.990914	-28.157306	-30.14822
0.95	-2.073039	-28.125389	-30.198428
0.955	-2.084334	-28.099544	-30.183878
0.96	-2.057344	-28.097824	-30.155168
0.965	-2.258398	-28.073466	-30.331864
0.97	-2.245868	-28.041657	-30.287525
0.975	-2.248769	-28.00259	-30.251359
0.98	-2.296935	-27.971311	-30.268246
0.985	-2.438979	-27.931246	-30.370225
0.99	-2.461949	-27.88604	-30.347989
0.995	-2.517921	-27.833701	-30.351622
1	-2.666719	-27.787528	-30.454247
1.005	-2.730981	-27.732746	-30.463727
1.01	-2.572925	-27.669367	-30.242292
1.015	-2.420978	-27.620949	-30.041927
1.02	-2.388868	-27.565931	-29.954799
1.025	-2.569909	-27.509277	-30.079186
1.03	-2.66968	-27.467105	-30.136785
1.035	-2.695422	-27.432502	-30.127924
1.04	-2.74818	-27.407421	-30.155601
1.045	-2.920015	-27.34457	-30.264585
1.05	-3.048971	-27.257967	-30.306938
1.055	-3.166892	-27.213274	-30.380166
1.06	-3.257512	-27.156748	-30.41426
1.065	-3.33388	-27.079507	-30.413387
1.07	-3.400727	-27.003605	-30.404332
1.075	-3.461465	-26.949342	-30.410807
1.08	-3.500386	-26.883259	-30.383645
1.085	-3.608425	-26.775708	-30.384133
1.09	-3.792266	-26.70391	-30.496176
1.095	-3.950263	-26.638539	-30.588802
1.1	-4.200617	-26.56288	-30.763497
1.105	-4.469259	-26.498473	-30.967732
1.11	-4.670377	-26.435766	-31.106143
1.115	-4.854875	-26.35121	-31.206085
1.12	-4.998175	-26.278494	-31.276669
1.125	-5.096285	-26.212961	-31.309246
1.13	-5.163044	-26.135934	-31.298978
1.135	-5.220292	-26.061457	-31.281749
1.14	-5.303937	-25.981572	-31.285509
1.145	-5.343449	-25.902817	-31.246266
1.15	-5.416441	-25.818656	-31.235097
1.155	-5.50046	-25.737413	-31.237873
1.16	-5.643554	-25.66479	-31.308344
1.165	-5.701008	-25.570629	-31.271637
1.17	-5.700362	-25.463578	-31.16394
1.175	-5.705335	-25.364207	-31.069542
1.18	-5.754368	-25.241819	-30.996187
1.185	-5.983925	-25.121713	-31.105638
1.19	-6.18195	-24.952976	-31.134926
1.195	-6.42807	-24.760101	-31.188171
1.2	-6.811671	-24.577937	-31.389608
1.205	-7.136008	-24.360556	-31.496564
1.21	-7.435703	-24.1302	-31.565903
1.215	-7.735245	-23.897399	-31.632644
1.22	-8.103646	-23.661632	-31.765278
1.225	-8.703663	-23.402659	-32.106322
1.23	-8.944807	-23.131021	-32.075828
1.235	-8.961134	-22.798568	-31.759702
1.24	-8.60816	-22.437615	-31.045775
1.245	-8.075082	-22.066691	-30.141773
1.25	-6.075372	-21.666595	-27.741967
1.255	-4.011006	-21.232996	-25.244002
1.26	-1.842981	-20.727504	-22.570485
1.265	1.864876	-20.202235	-18.337359
1.27	3.660006	-19.654876	-15.99487
1.275	5.560945	-19.058164	-13.497219
1.28	7.950043	-18.439637	-10.489594
1.285	10.730203	-17.742687	-7.012484
1.29	12.237292	-17.068515	-4.831223
1.295	13.255758	-16.35675	-3.100992
1.3	14.310664	-15.60406	-1.293396
1.305	16.377187	-14.830984	1.546203
1.31	17.516967	-14.015831	3.501136
1.315	18.454836	-13.211005	5.243831
1.32	19.316109	-12.380496	6.935613
1.325	20.643258	-11.480333	9.162925
1.33	23.138001	-10.579936	12.558065
1.335	24.761753	-9.714255	15.047498
1.34	25.180591	-8.809259	16.371332
1.345	26.639093	-7.847599	18.791494
1.35	28.097061	-6.920878	21.176183
1.355	29.465108	-5.99851	23.466598
1.36	30.549592	-5.072575	25.477017
1.365	32.127053	-4.147987	27.979066
1.37	33.636403	-3.163561	30.472842
1.375	34.001877	-2.231914	31.769963
1.38	34.793758	-1.281372	33.512386
1.385	35.715486	-0.352906	35.36258
1.39	36.389981	0.56124	36.951221
1.395	36.646383	1.465434	38.111817
1.4	36.800572	2.391911	39.192483
1.405	36.916371	3.269737	40.186108
1.41	36.765361	4.09397	40.859331
1.415	35.369193	4.94147	40.310663
1.42	34.019005	5.781734	39.800739
1.425	33.210623	6.601505	39.812128
1.43	32.690519	7.396699	40.087218
1.435	32.483839	8.148594	40.632433
1.44	31.371981	8.918996	40.290977
1.445	30.258357	9.589517	39.847874
1.45	29.067809	10.222906	39.290715
1.455	27.827882	10.917515	38.745397
1.46	27.327707	11.590645	38.918352
1.465	26.478043	12.222954	38.700997
1.47	25.514134	12.892685	38.406819
1.475	24.493297	13.522493	38.01579
1.48	23.639795	14.102049	37.741844
1.485	22.98336	14.658247	37.641607
1.49	22.416439	15.257472	37.673911
1.495	21.893223	15.804037	37.69726
1.5	21.487457	16.296775	37.784232
1.505	21.322407	16.784966	38.107373
1.51	21.128157	17.271008	38.399165
1.515	20.733577	17.748615	38.482192
1.52	20.007762	18.205829	38.213591
1.525	19.059807	18.656797	37.716604
1.53	18.053033	19.091197	37.14423
1.535	16.865361	19.502423	36.367784
1.54	15.811485	19.893565	35.70505
1.545	15.224744	20.264941	35.489685
1.55	14.66687	20.680582	35.347452
1.555	13.858958	21.01342	34.872378
1.56	13.176006	21.330929	34.506935
1.565	12.857799	21.675687	34.533486
1.57	12.612359	21.942949	34.555308
1.575	12.336481	22.195367	34.531848
1.58	11.524394	22.447289	33.971683
1.585	10.679984	22.737012	33.416996
1.59	9.965591	22.974595	32.940186
1.595	9.678554	23.156628	32.835182
1.6	9.557354	23.370685	32.928039
1.605	9.317374	23.598078	32.915452
1.61	9.151395	23.796333	32.947728
1.615	9.235867	23.977749	33.213616
1.62	9.378219	24.138134	33.516353
1.625	9.345144	24.244827	33.589971
1.63	9.28099	24.361118	33.642108
1.635	9.192962	24.509709	33.702671
1.64	9.065988	24.632266	33.698254
1.645	8.962486	24.731017	33.693503
1.65	8.888168	24.8226	33.710768
1.655	8.975625	24.88687	33.862495
1.66	8.939664	24.964963	33.904627
1.665	8.898246	25.058665	33.956911
1.67	8.833713	25.074518	33.908231
1.675	8.696293	25.069914	33.766207
1.68	8.670223	25.100166	33.770389
1.685	8.692951	25.141727	33.834678
1.69	8.680044	25.171585	33.851629
1.695	8.672685	25.14591	33.818595
1.7	8.749697	25.15777	33.907467
1.705	8.601843	25.175301	33.777144
1.71	8.435418	25.139509	33.574927
1.715	8.285282	25.125758	33.41104
1.72	8.018813	25.10065	33.119463
1.725	7.830738	25.084356	32.915094
1.73	7.682093	25.068216	32.750309
1.735	7.546232	25.022434	32.568666
1.74	7.617456	24.978405	32.595861
1.745	7.647515	24.956451	32.603966
1.75	7.662348	24.917294	32.579642
1.755	7.813088	24.880526	32.693614
1.76	8.00599	24.826261	32.832251
1.765	8.135281	24.772838	32.908119
1.77	8.289684	24.725122	33.014806
1.775	8.550699	24.695183	33.245882
1.78	8.667271	24.62398	33.291251
1.785	8.7234	24.567205	33.290605
1.79	8.797918	24.528764	33.326682
1.795	8.8923	24.475311	33.367611
1.8	8.844788	24.467372	33.31216
1.805	8.728493	24.435711	33.164204
1.81	8.611755	24.379311	32.991066
1.815	8.55825	24.342474	32.900724
1.82	8.532542	24.298096	32.830638
1.825	8.499682	24.270478	32.77016
1.83	8.486437	24.235662	32.722099
1.835	8.524782	24.198929	32.723711
1.84	8.582656	24.123224	32.70588
1.845	8.536518	24.059944	32.596462
1.85	8.432325	24.049635	32.48196
1.855	8.312888	24.005978	32.318866
1.86	8.29619	23.951792	32.247982
1.865	8.261948	23.924577	32.186525
1.87	8.239297	23.876039	32.115336
1.875	8.294422	23.789452	32.083874
1.88	8.359767	23.710912	32.070679
1.885	8.425042	23.645535	32.070577
1.89	8.461205	23.565833	32.027038
1.895	8.373898	23.469462	31.84336
1.9	8.274695	23.400935	31.67563
1.905	8.269622	23.330167	31.599789
1.91	8.300619	23.209761	31.51038
1.915	8.347556	23.082326	31.429882
1.92	8.409819	22.93398	31.343799
1.925	8.452456	22.818346	31.270802
1.93	8.487626	22.635147	31.122773
1.935	8.558742	22.427134	30.985876
1.94	8.645112	22.227602	30.872714
1.945	8.739476	22.015903	30.755379
1.95	8.847463	21.751179	30.598642
1.955	8.947154	21.456661	30.403815
1.96	9.200778	21.153902	30.35468
1.965	9.682217	20.791277	30.473494
1.97	10.229684	20.431492	30.661176
1.975	10.93404	19.982576	30.916616
1.98	11.184604	19.516579	30.701183
1.985	10.199402	19.025471	29.224873
1.99	8.59317	18.500267	27.093437
1.995	5.59182	17.988726	23.580546
2	2.108469	17.459349	19.567818
2.005	-0.208823	16.844737	16.635914
2.01	-2.358098	16.240892	13.882794
2.015	-4.570357	15.584458	11.014101
2.02	-6.644168	14.89543	8.251262
2.025	-7.871523	14.154497	6.282974
2.03	-8.928219	13.393382	4.465163
2.035	-11.057715	12.616059	1.558344
2.04	-13.887344	11.853387	-2.033957
2.045	-14.716445	11.064787	-3.651658
2.05	-15.661812	10.186104	-5.475708
2.055	-17.950251	9.352593	-8.597658
2.06	-19.041332	8.492634	-10.548698
2.065	-20.045212	7.653617	-12.391595
2.07	-21.358544	6.730386	-14.628158
2.075	-22.897138	5.796614	-17.100524
2.08	-23.850615	4.847667	-19.002948
2.085	-24.581417	3.941133	-20.640284
2.09	-25.341606	2.982141	-22.359465
2.095	-26.422384	2.018091	-24.404293
2.1	-27.825877	1.020673	-26.805204
2.105	-28.553182	0.082603	-28.470579
2.11	-29.038175	-0.862366	-29.900541
2.115	-29.542303	-1.835652	-31.377955
2.12	-29.473872	-2.809547	-32.283419
2.125	-28.879405	-3.757495	-32.6369
2.13	-27.667182	-4.723291	-32.390473
2.135	-25.442533	-5.670934	-31.113467
2.14	-24.009288	-6.609805	-30.619093
2.145	-23.008817	-7.539509	-30.548326
2.15	-21.885453	-8.439223	-30.324676
2.155	-20.979451	-9.332105	-30.311556
2.16	-20.261205	-10.180417	-30.441622
2.165	-19.697851	-11.009731	-30.707582
2.17	-19.086584	-11.773214	-30.859798
2.175	-18.167459	-12.51124	-30.678699
2.18	-17.381923	-13.22565	-30.607573
2.185	-16.660624	-13.947514	-30.608138
2.19	-15.802703	-14.594703	-30.397406
2.195	-14.972025	-15.225754	-30.197779
2.2	-14.282846	-15.846981	-30.129827
2.205	-13.740588	-16.352958	-30.093546
2.21	-13.413174	-16.91508	-30.328254
2.215	-13.113356	-17.453791	-30.567147
2.22	-12.747089	-17.920234	-30.667323
2.225	-12.414271	-18.374425	-30.788696
2.23	-11.815177	-18.793187	-30.608364
2.235	-11.088652	-19.20798	-30.296632
2.24	-10.802696	-19.574852	-30.377548
2.245	-10.695945	-19.948852	-30.644797
2.25	-11.032442	-20.295109	-31.327551
2.255	-11.715652	-20.618347	-32.333999
2.26	-11.996653	-20.92911	-32.925763
2.265	-12.075347	-21.172014	-33.247361
2.27	-12.001398	-21.431512	-33.43291
2.275	-11.889903	-21.708311	-33.598214
2.28	-11.661384	-21.949311	-33.610695
2.285	-11.403881	-22.166315	-33.570196
2.29	-11.146937	-22.400617	-33.547554
2.295	-10.855572	-22.59487	-33.450442
2.3	-10.533768	-22.802752	-33.33652
2.305	-10.242631	-22.987714	-33.230345
2.31	-9.931968	-23.15993	-33.091898
2.315	-9.791782	-23.348977	-33.140759
2.32	-9.63549	-23.513043	-33.148533
2.325	-9.447995	-23.655416	-33.103411
2.33	-9.202667	-23.789702	-32.992369
2.335	-9.020573	-23.917254	-32.937827
2.34	-8.989672	-24.030388	-33.02006
2.345	-8.971669	-24.16005	-33.131719
2.35	-8.791889	-24.285092	-33.076981
2.355	-8.550671	-24.371647	-32.922318
2.36	-8.506606	-24.504977	-33.011583
2.365	-8.48263	-24.584245	-33.066875
2.37	-8.042658	-24.67065	-32.713308
2.375	-7.604849	-24.731464	-32.336313
2.38	-7.371837	-24.821463	-32.1933
2.385	-7.167247	-24.901507	-32.068754
2.39	-6.956247	-24.953317	-31.909564
2.395	-6.838513	-25.019669	-31.858182
2.4	-6.855826	-25.064509	-31.920335
2.405	-6.899463	-25.109102	-32.008565
2.41	-7.010874	-25.168289	-32.179163
2.415	-7.008296	-25.207605	-32.215901
2.42	-6.92682	-25.260554	-32.187374
2.425	-6.838214	-25.276701	-32.114915
2.43	-6.747908	-25.303939	-32.051847
2.435	-6.687325	-25.32192	-32.009245
2.44	-6.649312	-25.362065	-32.011377
2.445	-6.649651	-25.374341	-32.023992
2.45	-6.475104	-25.395179	-31.870283
2.455	-6.419807	-25.414033	-31.83384
2.46	-6.247305	-25.420307	-31.667612
2.465	-6.045723	-25.429178	-31.474901
2.47	-6.147628	-25.428004	-31.575632
2.475	-6.233089	-25.420296	-31.653385
2.48	-6.265981	-25.421287	-31.687268
2.485	-6.279043	-25.432668	-31.711711
2.49	-6.238033	-25.444939	-31.682972
2.495	-6.258195	-25.422346	-31.680541
2.5	-6.329798	-25.4442	-31.773998
2.505	-6.401352	-25.42394	-31.825292
2.51	-6.458571	-25.388316	-31.846887
2.515	-6.436892	-25.381643	-31.818535
2.52	-6.394029	-25.352878	-31.746907
2.525	-6.372766	-25.33924	-31.712006
2.53	-6.302681	-25.322507	-31.625188
2.535	-6.30128	-25.316582	-31.617862
2.54	-6.26769	-25.306269	-31.573959
2.545	-6.214228	-25.287895	-31.502123
2.55	-6.219743	-25.256033	-31.475776
2.555	-6.246845	-25.236937	-31.483782
2.56	-6.244034	-25.227859	-31.471893
2.565	-6.238718	-25.203261	-31.441979
2.57	-6.27475	-25.202514	-31.477264
2.575	-6.314091	-25.168473	-31.482564
2.58	-6.264566	-25.140237	-31.404803
2.585	-6.188926	-25.099111	-31.288037
2.59	-6.183887	-25.078101	-31.261988
2.595	-6.107316	-25.054682	-31.161998
2.6	-6.040976	-25.030991	-31.071967
2.605	-5.966324	-24.98982	-30.956144
2.61	-5.948377	-24.946683	-30.89506
2.615	-5.955827	-24.916543	-30.87237
2.62	-6.023123	-24.868255	-30.891378
2.625	-6.073349	-24.807805	-30.881154
2.63	-6.122959	-24.759685	-30.882644
2.635	-6.160095	-24.685478	-30.845573
2.64	-6.200056	-24.618425	-30.818481
2.645	-6.242244	-24.569126	-30.81137
2.65	-6.277629	-24.502944	-30.780573
2.655	-6.312137	-24.420237	-30.732374
2.66	-6.342102	-24.339231	-30.681333
2.665	-6.373435	-24.283664	-30.657099
2.67	-6.398267	-24.186624	-30.584891
2.675	-6.453755	-24.09768	-30.551435
2.68	-6.627866	-23.982137	-30.610003
2.685	-6.844967	-23.86882	-30.713787
2.69	-7.073699	-23.753153	-30.826852
2.695	-7.364707	-23.611209	-30.975916
2.7	-7.659088	-23.447878	-31.106966
2.705	-7.91051	-23.262651	-31.173161
2.71	-8.151207	-23.071343	-31.22255
2.715	-8.450555	-22.917035	-31.36759
2.72	-8.771309	-22.73357	-31.504879
2.725	-9.068794	-22.496479	-31.565273
2.73	-9.66905	-22.25937	-31.92842
2.735	-10.040031	-22.011988	-32.052019
2.74	-10.223783	-21.750144	-31.973927
2.745	-10.404652	-21.412323	-31.816975
2.75	-10.785887	-21.096067	-31.881954
2.755	-11.145892	-20.780965	-31.926857
2.76	-11.792406	-20.454404	-32.24681
2.765	-12.434284	-20.045412	-32.479696
2.77	-12.883683	-19.598928	-32.482611
2.775	-13.002724	-19.183827	-32.186551
2.78	-12.520618	-18.709994	-31.230612
2.785	-12.001188	-18.221923	-30.223111
2.79	-11.332079	-17.712909	-29.044988
2.795	-9.625581	-17.189107	-26.814688
2.8	-7.261273	-16.637458	-23.898731
2.805	-4.913562	-16.064178	-20.97774
2.81	-1.673476	-15.44716	-17.120636
2.815	1.876933	-14.825246	-12.948313
2.82	4.020168	-14.139132	-10.118964
2.825	5.397578	-13.424914	-8.027336
2.83	7.096359	-12.720598	-5.624239
2.835	9.538861	-11.998454	-2.459593
2.84	11.392912	-11.301712	0.0912
2.845	12.803477	-10.508469	2.295008
2.85	14.088089	-9.676236	4.411853
2.855	16.214578	-8.894446	7.320132
2.86	17.464697	-8.052209	9.412488
2.865	18.578484	-7.248447	11.330037
2.87	19.299737	-6.420596	12.879141
2.875	21.240372	-5.569647	15.670725
2.88	22.947198	-4.711331	18.235867
2.885	24.56246	-3.82166	20.7408
2.89	25.640814	-2.940706	22.700108
2.895	27.151615	-2.070808	25.080807
2.9	28.022462	-1.191859	26.830603
2.905	29.356891	-0.311809	29.045082
2.91	30.223335	0.544102	30.767437
2.915	31.27955	1.395503	32.675053
2.92	32.083609	2.248125	34.331734
2.925	32.209752	3.138275	35.348027
2.93	32.326771	3.8389	36.165671
2.935	31.747766	4.738553	36.486319
2.94	30.562812	5.615323	36.178135
2.945	29.560466	6.374668	35.935134
2.95	28.742925	7.138534	35.881459
2.955	27.582313	7.905415	35.487728
2.96	26.908106	8.591666	35.499772
2.965	26.338691	9.192788	35.531479
2.97	26.079132	9.93209	36.011222
2.975	24.825354	10.682163	35.507517
2.98	23.820551	11.267711	35.088262
2.985	22.497938	11.908884	34.406822
2.99	21.642159	12.562076	34.204235
2.995	20.591608	13.181366	33.772974
3	20.179911	13.793626	33.973537
3.005	19.913119	14.369894	34.283013
3.01	19.028757	14.944993	33.97375
3.015	18.329774	15.466762	33.796536
3.02	18.047967	15.987797	34.035764
3.025	17.379176	16.481218	33.860394
3.03	16.878052	16.957168	33.83522
3.035	16.465029	17.426631	33.89166
3.04	16.130478	17.835514	33.965992
3.045	15.899878	18.24732	34.147198
3.05	15.53608	18.683949	34.220029
3.055	15.111919	19.060553	34.172472
3.06	14.667216	19.414064	34.08128
3.065	14.253787	19.770506	34.024293
3.07	14.047856	20.166402	34.214258
3.075	13.881135	20.477224	34.358359
3.08	13.59829	20.76624	34.36453
3.085	13.225484	21.095014	34.320498
3.09	12.911323	21.395731	34.307054
3.095	12.532358	21.665252	34.19761
3.1	12.097145	21.845939	33.943084
3.105	11.747238	22.116945	33.864183
3.11	11.435732	22.39375	33.829482
3.115	11.112189	22.632342	33.744531
3.12	10.869168	22.813835	33.683003
3.125	10.631014	22.980167	33.611181
3.13	10.25367	23.170357	33.424027
3.135	9.971281	23.324093	33.295374
3.14	9.800132	23.451753	33.251885
3.145	9.663289	23.598999	33.262288
3.15	9.579794	23.741466	33.32126
3.155	9.522612	23.909312	33.431924
3.16	9.523536	24.040552	33.564088
3.165	9.377271	24.164532	33.541803
3.17	9.072033	24.308116	33.380149
3.175	9.024408	24.372428	33.396836
3.18	8.936703	24.441267	33.37797
3.185	9.014216	24.534617	33.548833
3.19	9.087145	24.610421	33.697566
3.195	8.910344	24.687923	33.598267
3.2	8.76312	24.739981	33.503101
3.205	8.702912	24.826922	33.529834
3.21	8.618475	24.873512	33.491987
3.215	8.599003	24.907117	33.50612
3.22	8.679443	24.953102	33.632545
3.225	8.796704	24.9993	33.796004
3.23	8.863276	24.985341	33.848617
3.235	8.852628	25.020039	33.872667
3.24	8.761424	25.064508	33.825932
3.245	8.680347	25.073807	33.754154
3.25	8.52212	25.075109	33.597229
3.255	8.500977	25.055667	33.556644
3.26	8.446634	25.046382	33.493016
3.265	8.364999	25.029923	33.394922
3.27	8.25184	25.031117	33.282957
3.275	8.190447	25.005643	33.19609
3.28	8.112627	25.00819	33.120817
3.285	8.173206	25.002751	33.175957
3.29	8.163318	24.968456	33.131774
3.295	8.079321	24.947168	33.026489
3.3	7.955795	24.911058	32.866853
3.305	7.896098	24.868273	32.764371
3.31	7.860782	24.892254	32.753036
3.315	7.830753	24.86158	32.692333
3.32	7.79218	24.821758	32.613938
3.325	7.753464	24.792208	32.545672
3.33	7.673409	24.767081	32.44049
3.335	7.699852	24.728814	32.428666
3.34	7.719822	24.696036	32.415858
3.345	7.82194	24.665466	32.487406
3.35	7.900664	24.619518	32.520182
3.355	7.941084	24.588314	32.529398
3.36	8.009001	24.548177	32.557178
3.365	8.074551	24.511277	32.585828
3.37	8.159031	24.46159	32.620621
3.375	8.205524	24.396826	32.60235
3.38	8.247151	24.33601	32.583161
3.385	8.311973	24.285631	32.597604
3.39	8.37233	24.251684	32.624014
3.395	8.421992	24.173462	32.595454
3.4	8.464581	24.077341	32.541922
3.405	8.506402	24.015796	32.522198
3.41	8.539924	23.951724	32.491648
